statistic,pg_gpu,allel,abs_error,rel_error,match,correlation,n_compared
pi,0.0018659903725622114,0.0018659908391832258,4.66621014397206e-10,2.5006607996074276e-07,Y,,
theta_w,0.003225727637419895,0.003225039210902191,6.884265177039585e-07,0.00021346299151239593,Y,,
tajimas_d,-1.3642184389072345,-1.3635277435989899,0.0006906953082446154,0.0005065502418172631,Y,,
fst_hudson,0.0029059716624197742,0.002905971662419766,8.239936510889834e-18,2.8355185349703454e-15,Y,,
fst_wc,0.0029262070948518795,0.0029262070948518825,3.0357660829594124e-18,1.037440613243088e-15,Y,,
dxy,0.0019002093657356702,0.0019002093657356704,2.168404344971009e-19,1.1411396996938314e-16,Y,,
sfs,,,,0.0,Y,1.0,201.0
joint_sfs,,,,0.0,Y,1.0,5174.0
patterson_f2 (mean),0.00022779959532052068,0.00022779959532052068,0.0,0.0,Y,,
garud_h1,0.005000000000000001,0.005000000000000001,0.0,0.0,Y,,
garud_h12,0.005050000000000001,0.005050000000000001,0.0,0.0,Y,,
windowed_pi,,,,4.487572424111846e-15,Y,0.9999999999996819,80.0
windowed_theta_w,,,,0.00015867878484463578,Y,0.9999999218519326,80.0
windowed_fst,,,,1.9335066852920252e-15,Y,1.0,80.0
