seed,missing_rate,statistic,value
1,0.0,pi,29.562828282828285
1,0.0,theta_w,33.22145225338237
1,0.0,theta_h,20.821010101010103
1,0.0,theta_l,25.191919191919194
1,0.0,tajimas_d,-0.36818647073990673
1,0.05,pi,29.44204058394709
1,0.05,theta_w,33.16293679919054
1,0.05,theta_h,20.641122918372602
1,0.05,theta_l,25.041581751159846
1,0.05,tajimas_d,-0.3768263758394319
1,0.1,pi,29.5688119241352
1,0.1,theta_w,32.9298188366045
1,0.1,theta_h,20.913064870724575
1,0.1,theta_l,25.24093839742989
1,0.1,tajimas_d,-0.3444879235519853
1,0.2,pi,29.649647247433297
1,0.2,theta_w,33.93664341224397
1,0.2,theta_h,20.826676211799022
1,0.2,theta_l,25.23816172961616
1,0.2,tajimas_d,-0.431686062838161
1,0.3,pi,29.41106922800814
1,0.3,theta_w,31.956519528199337
1,0.3,theta_h,20.378466059048932
1,0.3,theta_l,24.894767643528535
1,0.3,tajimas_d,-0.2753410710315901
1,0.4,pi,29.930138601520085
1,0.4,theta_w,33.342067080452324
1,0.4,theta_h,21.09364114154974
1,0.4,theta_l,25.511889871534912
1,0.4,tajimas_d,-0.3587550636829129
1,0.5,pi,30.52875677176014
1,0.5,theta_w,33.473095134484296
1,0.5,theta_h,21.418931207875133
1,0.5,theta_l,25.973843989817635
1,0.5,tajimas_d,-0.3157463536839117
1,0.6,pi,28.904964361753866
1,0.6,theta_w,33.078681434525436
1,0.6,theta_h,21.575508605745878
1,0.6,theta_l,25.240236483749868
1,0.6,tajimas_d,-0.466816079506122
2,0.0,pi,41.03575757575757
2,0.0,theta_w,39.981631490989244
2,0.0,theta_h,35.63090909090909
2,0.0,theta_l,38.33333333333333
2,0.0,tajimas_d,0.08847437546474789
2,0.05,pi,40.96293112744779
2,0.05,theta_w,39.79641853823791
2,0.05,theta_h,35.54064346992886
2,0.05,theta_l,38.25178729868832
2,0.05,tajimas_d,0.09880827589282681
2,0.1,pi,41.068410770463075
2,0.1,theta_w,40.42458070201404
2,0.1,theta_h,35.88068040332518
2,0.1,theta_l,38.47454558689412
2,0.1,tajimas_d,0.05397782888840451
2,0.2,pi,40.972763496705575
2,0.2,theta_w,39.02849697724223
2,0.2,theta_h,35.14493186575014
2,0.2,theta_l,38.05884768122785
2,0.2,tajimas_d,0.17067188980969594
2,0.3,pi,41.19770357828239
2,0.3,theta_w,39.67736320408018
2,0.3,theta_h,36.25337485571292
2,0.3,theta_l,38.72553921699765
2,0.3,tajimas_d,0.13297517111733126
2,0.4,pi,41.26530469614158
2,0.4,theta_w,40.71339414471291
2,0.4,theta_h,35.37752061986444
2,0.4,theta_l,38.32141265800301
2,0.4,tajimas_d,0.047827360441388134
2,0.5,pi,40.543076382476976
2,0.5,theta_w,38.002747734186016
2,0.5,theta_h,36.416940840988225
