n_haplotypes,n_variants,statistic,time_s
100,100000,pi,0.0008714543655514717
100,100000,tajimas_d,0.0010058078914880753
100,100000,fst_hudson,0.0023755626752972603
100,100000,garud_h,0.001377488486468792
100,100000,zns,0.028234902769327164
100,100000,windowed_3,0.00221328716725111
200,100000,pi,0.0008740285411477089
200,100000,tajimas_d,0.0010112076997756958
200,100000,fst_hudson,0.0024249060079455376
200,100000,garud_h,0.001550806686282158
200,100000,zns,0.0286046015098691
200,100000,windowed_3,0.0022602444514632225
500,100000,pi,0.0008857622742652893
500,100000,tajimas_d,0.001025184988975525
500,100000,fst_hudson,0.0025159185752272606
500,100000,garud_h,0.0021350085735321045
500,100000,zns,0.028349668718874454
500,100000,windowed_3,0.0022810734808444977
1000,100000,pi,0.0011048456653952599
1000,100000,tajimas_d,0.0012204833328723907
1000,100000,fst_hudson,0.002981375902891159
1000,100000,garud_h,0.003099057823419571
1000,100000,zns,0.028419450856745243
1000,100000,windowed_3,0.0024055996909737587
2000,100000,pi,0.0016228323802351952
2000,100000,tajimas_d,0.0017685871571302414
2000,100000,fst_hudson,0.004020567052066326
2000,100000,garud_h,0.00502166710793972
2000,100000,zns,0.02899425756186247
2000,100000,windowed_3,0.002729741856455803
5000,100000,pi,0.003210829570889473
5000,100000,tajimas_d,0.003353498876094818
5000,100000,fst_hudson,0.007041077129542828
5000,100000,garud_h,0.01092161051928997
5000,100000,zns,0.03633043169975281
5000,100000,windowed_3,0.0037300800904631615
10000,100000,pi,0.006635893136262894
10000,100000,tajimas_d,0.006846761330962181
10000,100000,fst_hudson,0.013927462510764599
10000,100000,garud_h,0.021313481032848358
10000,100000,zns,0.06600168347358704
10000,100000,windowed_3,0.007683129049837589
50000,100000,pi,0.03151675499975681
50000,100000,tajimas_d,0.031717944890260696
50000,100000,fst_hudson,0.06154844909906387
50000,100000,garud_h,0.1000632606446743
50000,100000,zns,0.25698723178356886
100000,100000,pi,0.0730021595954895
