n_haplotypes,n_variants,statistic,time_s
200,201,pi,0.0015971437096595764
200,201,tajimas_d,0.0018190601840615273
200,201,fst_hudson,0.004085595719516277
200,201,garud_h,0.0022995565086603165
200,201,zns,0.0021903906017541885
200,201,windowed_3,0.0021613771095871925
200,1215,pi,0.001606689766049385
200,1215,tajimas_d,0.0019011963158845901
200,1215,fst_hudson,0.004692177288234234
200,1215,garud_h,0.0022941557690501213
200,1215,zns,0.007381340488791466
200,1215,windowed_3,0.002206290140748024
200,4543,pi,0.0016736853867769241
200,4543,tajimas_d,0.001923227682709694
200,4543,fst_hudson,0.004676590673625469
200,4543,garud_h,0.002353427931666374
200,4543,zns,0.044455310329794884
200,4543,windowed_3,0.002282695844769478
200,23374,pi,0.0015613548457622528
200,23374,tajimas_d,0.0019160239025950432
200,23374,fst_hudson,0.004602138884365559
200,23374,garud_h,0.00227192509919405
200,23374,zns,0.05430986359715462
200,23374,windowed_3,0.002673081122338772
200,118912,pi,0.0016530780121684074
200,118912,tajimas_d,0.0018353210762143135
200,118912,fst_hudson,0.004619522951543331
200,118912,garud_h,0.004065107554197311
200,118912,zns,0.05577980726957321
200,118912,windowed_3,0.005324471741914749
200,236564,pi,0.0015200460329651833
200,236564,tajimas_d,0.0016485387459397316
200,236564,fst_hudson,0.00382024422287941
200,236564,garud_h,0.011169485747814178
200,236564,zns,0.02913267258554697
200,236564,windowed_3,0.005273015238344669
