start,stop,pi,theta_w,segregating_sites,singletons,max_daf,tajimas_d
185,100185,0.0003103250725762435,0.0016291561964949088,177.0,108.0,0.995,-2.55372641506026
100185,200185,0.00018067092134498798,0.0015020735516771164,115.0,78.0,0.98,-2.7388206766353482
200185,300185,0.0007713147036859082,0.003429220724056332,95.0,56.0,0.975,-2.3943759039048738
300185,400185,0.0004592820076900415,0.001561965262035227,100.0,51.0,0.99,-2.185704823811529
400185,500185,0.0008822836733210767,0.0024395918792109294,107.0,53.0,0.81,-1.9818631962087963
500185,600185,0.0029473697720084,0.009250787316504206,234.0,123.0,0.99,-2.1626380422184868
600185,700185,0.0013706903924962013,0.004686982170854019,262.0,126.0,0.93,-2.2502390401303094
700185,800185,0.002855651729957401,0.009482572084944548,296.0,129.0,0.97,-2.226925110498416
800185,900185,0.0027784568210228017,0.00909192628101519,290.0,136.0,0.985,-2.2120570596090046
900185,1000185,0.0008337479939043315,0.0030491995166054674,289.0,151.0,0.86,-2.3143944105320875
1000185,1100185,0.0022028663552547977,0.008468780706681538,322.0,148.0,0.99,-2.3605578216908394
1100185,1200185,0.0020158405375352378,0.007050572284760594,474.0,231.0,0.91,-2.288510579648769
1200185,1300185,0.0012326440697991252,0.004726489113120411,366.0,206.0,0.995,-2.362354117118196
1300185,1400185,0.0011712023975298147,0.004166995165263529,325.0,162.0,0.995,-2.294012243531493
1400185,1500185,0.0012651208386478762,0.0036557679531901894,337.0,147.0,0.875,-2.0876492426643805
1500185,1600185,0.0030172670010090307,0.009668652308524933,457.0,228.0,0.995,-2.2039047817711817
1600185,1700185,0.0029388770526216964,0.010050956683002042,455.0,202.0,0.99,-2.266819656387109
1700185,1800185,0.002020157525214731,0.007873470301831815,489.0,255.0,0.995,-2.383218225137364
1800185,1900185,0.0013329570535344389,0.00472528320190141,444.0,215.0,0.94,-2.29927300307136
1900185,2000185,0.0029309358178794247,0.010876667281849,359.0,189.0,0.83,-2.3340700983082505
2000185,2100185,0.0020626327513857882,0.007964941940315622,363.0,171.0,0.965,-2.367964602710554
2100185,2200185,0.0008759501070078369,0.003117886626966491,488.0,241.0,0.99,-2.3050641652805135
2200185,2300185,0.0006737460589972293,0.0023871110182261024,444.0,217.0,0.955,-2.298783365357731
2300185,2400185,0.001325481061298987,0.004475643889646833,504.0,252.0,0.995,-2.2569688101371415
2400185,2500185,0.0014587799213015389,0.005375835637249927,358.0,194.0,0.975,-2.3279540986421314
2500185,2600185,0.0019897959183673443,0.007277973596581825,377.0,205.0,0.97,-2.3229055516118526
2600185,2700185,0.0022847777874587297,0.00836769098447835,462.0,256.0,0.98,-2.3291593232967633
2700185,2800185,0.0012685314856004351,0.005052785730635562,391.0,200.0,0.965,-2.39536319600119
2800185,2900185,0.0018539040672841366,0.006665367136509145,429.0,225.0,0.995,-2.3111026519698212
2900185,3000185,0.001648150282044403,0.0067717490099624385,444.0,236.0,0.77,-2.4232322412847345
3000185,3100185,0.00042807124250457656,0.0018995162861178178,379.0,197.0,0.995,-2.4766487119649505
3100185,3200185,0.0012155277225975021,0.0048993145611989745,394.0,203.0,0.985,-2.4050231647791076
3200185,3300185,0.0009549183678513621,0.003272685405711151,254.0,122.0,0.965,-2.2511375800620366
3300185,3400185,0.0012396493313546338,0.004500524225932876,318.0,175.0,0.63,-2.3112449755795015
3400185,3500185,0.0004495664908034064,0.001718324519522789,309.0,146.0,0.855,-2.3543453616999543
3500185,3600185,0.002127162380500516,0.008255352165756642,323.0,169.0,0.975,-2.368461991718956
3600185,3700185,0.00201865398374258,0.006693654376981245,304.0,162.0,0.945,-2.226441651313094
3700185,3800185,0.001896074214169152,0.00785043208890618,325.0,183.0,0.97,-2.4201837049256736
3800185,3900185,0.001968823436730008,0.007633177312883089,336.0,178.0,0.855,-2.3689095115065775
3900185,4000185,0.0020235521300310906,0.007194808005080596,329.0,177.0,0.945,-2.293806222851552
4000185,4100185,0.002419685944812868,0.008749855198811725,298.0,150.0,0.995,-2.305571323467519
4100185,4200185,0.0028507764593894602,0.008297841541563749,354.0,166.0,0.995,-2.0969901367282127
4200185,4300185,0.001832274618390074,0.00620030204982631,455.0,233.0,0.995,-2.2568374033222365
4300185,4400185,0.0013454403384213255,0.004903979876571217,376.0,184.0,0.985,-2.3197719823501357
4400185,4500185,0.0009349093276886834,0.003082129127425862,303.0,151.0,0.995,-2.220738893278611
4500185,4600185,0.0027812772784108334,0.008518487841275098,341.0,163.0,0.995,-2.150437883060116
4600185,4700185,0.0022979397402839333,0.007201622980200546,356.0,164.0,0.86,-2.17531423318787
4700185,4800185,0.001198291070332408,0.0045055650651078865,378.0,213.0,0.985,-2.3467705706558224
4800185,4900185,0.002032570317246292,0.005677446467673109,318.0,144.0,0.88,-2.0478808020715276
4900185,5000185,0.001235712642182676,0.0042086098551433184,400.0,194.0,0.905,-2.2598307927104377
5000185,5100185,0.0014384775992639202,0.005350909371264301,357.0,176.0,0.97,-2.335955333310169
5100185,5200185,0.001480756080068432,0.005987835923852942,445.0,231.0,0.985,-2.4107716982343197
5200185,5300185,0.0024706127941464145,0.007122808707699956,431.0,197.0,0.905,-2.09119292993406
5300185,5400185,0.001681061887833444,0.006548839739017719,366.0,202.0,0.96,-2.375452819017727
5400185,5500185,0.00219109285975877,0.008035434183956035,395.0,185.0,0.995,-2.326477778500492
5500185,5600185,0.0023367814619402894,0.009567711751905192,432.0,217.0,0.985,-2.419825352824854
5600185,5700185,0.0017957785380804748,0.006732300143054041,446.0,234.0,0.895,-2.348541257332167
5700185,5800185,0.003291935687577259,0.010601339577518772,327.0,146.0,0.94,-2.200213719640261
5800185,5900185,0.0006880625489387625,0.002361141632126199,397.0,194.0,0.83,-2.2666898798943267
5900185,6000185,0.0007788962407759536,0.0024207845093835224,404.0,194.0,0.97,-2.170054695444336
6000185,6100185,0.0011608928822588185,0.004297124845733262,431.0,227.0,0.965,-2.3367787388196923
6100185,6200185,0.0011629448490222982,0.00426601978641896,506.0,264.0,0.99,-2.3325605129087323
6200185,6300185,0.0019776809345824556,0.005751016397599609,463.0,207.0,0.995,-2.1022444411623225
6300185,6400185,0.0009226313822425832,0.00300135061308627,383.0,171.0,0.87,-2.2146057973201745
6400185,6500185,0.0008673530105400712,0.003319339708873972,540.0,261.0,0.965,-2.3701459648272487
6500185,6600185,0.0012783959857147116,0.00470813993032086,497.0,243.0,0.96,-2.3356372739633975
6600185,6700185,0.001515645520245988,0.005569075922037922,418.0,213.0,0.96,-2.3296215051941505
6700185,6800185,0.0024354986741303834,0.008370315216234816,418.0,203.0,0.975,-2.269401146823511
6800185,6900185,0.0022886352528696872,0.006521788579750284,408.0,177.0,0.97,-2.0769597028409046
6900185,7000185,0.0007652502996571464,0.0026423705646994346,397.0,190.0,0.995,-2.2724589680788627
7000185,7100185,0.00029762525381843576,0.0012608117751734156,293.0,156.0,0.88,-2.433957024754006
7100185,7200185,0.001525477518482463,0.005320932287951899,382.0,188.0,0.995,-2.2807623595526176
