pop,bin_lo_bp,bin_hi_bp,bin_mid_bp,mean_r2,n_pairs,DD,Dz,pi2,sigma_d2
AFR,0,500,250.0,0.7199311040198478,30466,-0.0005200129865631174,-0.0014316653964388728,-0.0005567897198230353,0.9339486130031159
AFR,500,1000,707.1067811865476,0.680729282572104,29464,0.00014099090086621189,-0.0014634067790164824,-0.0002083500798557904,-0.6767019286184042
AFR,1000,2000,1414.213562373095,0.6387013473693021,55566,0.0003258270832476271,-0.004160890020754619,-0.00012501839352456392,-2.606233163471324
AFR,2000,5000,3162.2776601683795,0.5690693580800656,156338,0.002672389598185111,-0.006901835187255711,2.5443495986831352e-05,105.03232730157227
AFR,5000,10000,7071.067811865475,0.47126893069798403,238397,0.0002692870514284132,-0.010793078146907902,-0.0008162221117779362,-0.3299188389320139
AFR,10000,20000,14142.13562373095,0.3592557292252825,428994,-0.0007358582632101761,-0.011974477388244836,-0.007185144096209529,0.10241384909710757
AFR,20000,50000,31622.776601683792,0.21819613153298026,1150664,0.0017614017178231884,-0.007592503104210858,0.009333462880755204,0.18871899318901744
AFR,50000,100000,70710.67811865476,0.11383801504590717,1693717,0.017005587791645318,-0.014940027665042913,0.03224349529078067,0.5274114247938777
AFR,100000,200000,141421.35623730952,0.05081633006600192,3122623,0.02722546729688186,0.005278118181991465,0.050347153860598126,0.5407548433078083
AFR,200000,500000,316227.7660168379,0.012913983959429637,8772768,0.0781640374875336,0.01967902919670915,0.10303455459737933,0.7586196474859289
EUR,0,500,250.0,0.8211721900839649,30466,-0.0007364838853232288,-0.0006347824783177608,-0.001436263768833877,0.512777597892893
EUR,500,1000,707.1067811865476,0.7931066127176254,29464,0.0005292039876376094,-0.00018871586642659263,-0.0012967523111478067,-0.40809951375308523
EUR,1000,2000,1414.213562373095,0.7595655863535843,55566,-0.0008643125988689876,0.001377269028960077,-0.0024986188181734623,0.34591614878687915
EUR,2000,5000,3162.2776601683795,0.7033397620624504,156338,-0.003329730013081453,0.005289320227722367,-0.0035404568082892923,0.9404803372507007
EUR,5000,10000,7071.067811865475,0.617624423789429,238397,-0.00751863889052443,0.008829230041414133,-0.007349595080554115,1.0230004249373654
EUR,10000,20000,14142.13562373095,0.5083742297109315,428994,0.001947760342001279,0.018689236150845428,-0.004658184524269401,-0.4181372231721048
EUR,20000,50000,31622.776601683792,0.3516901756657549,1150664,0.038662889191908884,0.02054375773502029,-0.016794397839856024,-2.3021301246154318
EUR,50000,100000,70710.67811865476,0.20620223042877725,1693717,0.03955827217172235,-0.0022330019776174003,-0.010055250599517968,-3.934091127835114
EUR,100000,200000,141421.35623730952,0.10598527451821166,3122623,0.07242993305431204,-0.012082556034134176,-0.007251938991666556,-9.987664421549008
EUR,200000,500000,316227.7660168379,0.033836901678064524,8772768,0.09091822860427898,-0.005939188436257568,0.07349777216823279,1.2370201969683057
AFR_EUR,0,500,250.0,,0,-0.0004385817440215415,-0.000154205257454853,0.000332220036809123,-1.3201544019860807
AFR_EUR,500,1000,707.1067811865476,,0,-0.0004652520893968767,3.5936543915411764e-06,0.00023878423987578156,-1.9484204218792096
AFR_EUR,1000,2000,1414.213562373095,,0,-0.0018421975392654123,0.00030293058702337574,0.0009749683449544499,-1.8894947192890443
AFR_EUR,2000,5000,3162.2776601683795,,0,0.0003214484659491525,-0.0007419060523365356,0.00211455964776554,0.15201674083246025
AFR_EUR,5000,10000,7071.067811865475,,0,0.004734585433148201,-0.0018679225146703067,0.001886713973576894,2.5094346570043253
AFR_EUR,10000,20000,14142.13562373095,,0,0.006388219149696,-0.005664245586743475,-0.0010731183447588023,-5.95294934700966
AFR_EUR,20000,50000,31622.776601683792,,0,0.013963624583390349,0.0010957400346064403,-0.00701110825771467,-1.9916429856899558
AFR_EUR,50000,100000,70710.67811865476,,0,0.017743534306497784,-0.007150376805918767,-0.003176828818682066,-5.585297577934601
AFR_EUR,100000,200000,141421.35623730952,,0,-0.005987263948444954,-0.009075286378424146,0.0010122684156207182,-5.914699951172133
AFR_EUR,200000,500000,316227.7660168379,,0,0.012655721836560673,0.0123182330249332,0.0031697830508336604,3.9926145208051977
