derived_allele_count,sites
0,5220440
1,2077147
2,837496
3,472490
4,308275
5,219977
6,165387
7,128217
8,104060
9,85160
10,71927
11,60979
12,53073
13,45465
14,40535
15,35955
16,32190
17,28898
18,26381
19,23608
20,21677
21,20327
22,18690
23,17194
24,15872
25,14636
26,13752
27,12842
28,12354
29,11403
30,10704
31,10330
32,9552
33,9145
34,8499
35,8276
36,7679
37,7427
38,7200
39,6980
40,6603
41,6105
42,5912
43,5758
44,5551
45,5115
46,5051
47,4835
48,4668
49,4597
50,4224
51,4449
52,4189
53,3840
54,3784
55,3757
56,3618
57,3460
58,3194
59,3422
60,3211
61,3228
62,3007
63,2925
64,2937
65,2680
66,2783
67,2699
68,2709
69,2547
70,2610
71,2381
72,2380
73,2308
74,2321
75,2230
76,2285
77,2109
78,2199
79,2032
80,2010
81,2020
82,1895
83,1841
84,1900
85,1784
86,1790
87,1777
88,1749
89,1578
90,1614
91,1664
92,1586
93,1552
94,1550
95,1569
96,1459
97,1467
98,1447
99,1416
100,1728
101,1418
102,1424
103,1365
104,1401
105,1366
106,1344
107,1332
108,1240
109,1271
110,1186
111,1302
112,1263
113,1246
114,1151
115,1202
116,1218
117,1159
118,1089
119,1041
120,1158
121,1072
122,995
123,967
124,1025
125,1037
126,1022
127,976
128,968
129,1034
130,923
131,921
132,934
133,973
134,851
135,844
136,913
137,875
138,945
139,903
140,900
141,839
142,874
143,879
144,848
145,856
146,921
147,822
148,815
149,859
150,814
151,826
152,758
153,819
154,781
155,823
156,815
157,791
158,818
159,779
160,851
161,753
162,806
163,674
164,728
165,738
166,661
167,656
168,640
169,658
170,696
171,727
172,707
173,688
174,683
175,687
176,720
177,619
178,617
179,627
180,645
181,671
182,664
183,559
184,682
185,582
186,584
187,574
188,603
189,560
190,621
191,529
192,573
193,582
194,580
195,526
196,591
197,576
198,538
199,590
200,579
201,563
202,577
203,567
204,590
205,524
206,519
207,550
208,545
209,521
210,582
211,508
212,528
213,493
214,547
215,577
216,489
217,509
218,521
219,479
220,492
221,514
222,509
223,534
224,481
225,484
226,483
227,458
228,522
229,541
230,481
231,432
232,485
233,478
234,471
235,509
236,508
237,482
238,460
239,466
240,463
241,505
242,443
243,437
244,451
245,462
246,399
247,424
248,429
249,397
250,419
251,389
252,456
253,421
254,406
255,449
256,509
257,449
258,348
259,424
260,450
261,419
262,443
263,440
264,437
265,419
266,441
267,389
268,362
269,395
270,448
271,375
272,417
273,363
274,350
275,377
276,360
277,426
278,398
279,371
280,405
281,362
282,389
283,402
284,340
285,362
286,386
287,340
288,364
289,352
290,335
291,339
292,371
293,419
294,360
295,388
296,392
297,374
298,335
299,355
300,324
301,320
302,339
303,358
304,334
305,373
306,363
307,345
308,354
309,328
310,361
311,352
312,354
313,351
314,349
315,301
316,297
317,291
318,309
319,294
320,320
321,349
322,344
323,330
324,320
325,340
326,306
327,288
328,336
329,287
330,306
331,317
332,281
333,276
334,283
335,314
336,285
337,324
338,267
339,313
340,343
341,307
342,313
343,292
344,319
345,271
346,266
347,281
348,320
349,292
350,292
351,286
352,284
353,316
354,296
355,335
356,258
357,303
358,265
359,277
360,369
361,276
362,296
363,291
364,301
365,315
366,248
367,277
368,312
369,283
370,314
371,310
372,291
373,283
374,240
375,256
376,276
377,272
378,260
379,283
380,269
381,252
382,282
383,261
384,295
385,268
386,282
387,277
388,241
389,248
390,268
391,248
392,208
393,220
394,263
395,288
396,290
397,258
398,269
399,275
400,293
401,255
402,240
403,266
404,256
405,253
406,281
407,262
408,284
409,255
410,230
411,249
412,257
413,249
414,240
415,262
416,234
417,212
418,233
419,263
420,243
421,296
422,243
423,267
424,276
425,222
426,216
427,257
428,246
429,231
430,253
431,233
432,227
433,225
434,243
435,256
436,260
437,244
438,204
439,240
440,250
441,264
442,230
443,242
444,231
445,232
446,275
447,269
448,235
449,221
450,220
451,258
452,213
453,216
454,202
455,250
456,190
457,221
458,234
459,219
460,216
461,225
462,197
463,219
464,212
465,204
466,201
467,216
468,235
469,254
470,211
471,241
472,209
473,232
474,246
475,208
476,210
477,240
478,232
479,204
480,266
481,256
482,194
483,202
484,206
485,210
486,216
487,207
488,191
489,250
490,189
491,203
492,240
493,190
494,230
495,170
496,188
497,220
498,258
499,196
500,203
501,248
502,224
503,304
504,242
505,223
506,250
507,195
508,192
509,211
510,208
511,228
512,215
513,186
514,203
515,223
516,189
517,201
518,194
519,191
520,165
521,230
522,208
523,193
524,207
525,175
526,176
527,177
528,185
529,196
530,200
531,169
532,198
533,192
534,200
535,159
536,173
537,166
538,175
539,191
540,186
541,205
542,202
543,156
544,199
545,195
546,182
547,200
548,229
549,206
550,197
551,218
552,194
553,202
554,186
555,196
556,209
557,185
558,179
559,174
560,204
561,184
562,188
563,178
564,174
565,168
566,180
567,216
568,187
569,207
570,188
571,169
572,214
573,182
574,164
575,197
576,215
577,155
578,174
579,176
580,182
581,153
582,152
583,205
584,157
585,157
586,180
587,197
588,161
589,163
590,204
591,191
592,160
593,172
594,172
595,169
596,182
597,148
598,167
599,158
600,164
601,164
602,173
603,156
604,151
605,151
606,162
607,161
608,170
609,172
610,148
611,186
612,146
613,182
614,173
615,150
616,150
617,157
618,167
619,153
620,181
621,171
622,151
623,143
624,136
625,170
626,160
627,180
628,143
629,187
630,117
631,142
632,142
633,173
634,153
635,131
636,173
637,174
638,162
639,155
640,171
641,159
642,153
643,150
644,158
645,155
646,166
647,159
648,150
649,143
650,143
651,146
652,144
653,159
654,158
655,161
656,161
657,144
658,177
659,176
660,188
661,177
662,197
663,177
664,175
665,165
666,128
667,149
668,166
669,144
670,146
671,178
672,185
673,144
674,135
675,143
676,137
677,140
678,157
679,137
680,168
681,164
682,140
683,116
684,131
685,152
686,121
687,152
688,148
689,140
690,135
691,157
692,121
693,153
694,117
695,124
696,121
697,136
698,125
699,142
700,132
701,128
702,129
703,128
704,132
705,139
706,128
707,150
708,171
709,138
710,134
711,123
712,139
713,152
714,122
715,143
716,132
717,138
718,148
719,123
720,142
721,136
722,142
723,149
724,130
725,164
726,133
727,149
728,154
729,129
730,134
731,200
732,111
733,149
734,145
735,143
736,153
737,131
738,165
739,132
740,157
741,128
742,153
743,161
744,140
745,122
746,147
747,127
748,127
749,139
750,115
751,141
752,139
753,103
754,134
755,127
756,130
757,122
758,141
759,166
760,145
761,137
762,130
763,178
764,150
765,123
766,129
767,131
768,233
769,140
770,127
771,144
772,132
773,126
774,173
775,188
776,144
777,112
778,125
779,123
780,120
781,118
782,125
783,118
784,126
785,150
786,125
787,132
788,141
789,123
790,116
791,100
792,138
793,101
794,130
795,94
796,129
797,121
798,114
799,122
800,137
801,130
802,139
803,138
804,122
805,130
806,122
807,151
808,165
809,148
810,119
811,98
812,109
813,113
814,127
815,131
816,117
817,133
818,148
819,126
820,123
821,105
822,147
823,122
824,89
825,150
826,127
827,123
828,149
829,105
830,119
831,118
832,115
833,107
834,113
835,143
836,111
837,111
838,130
839,106
840,118
841,148
842,141
843,125
844,95
845,95
846,128
847,133
848,121
849,117
850,122
851,130
852,142
853,119
854,110
855,125
856,127
857,102
858,118
859,130
860,119
861,117
862,103
863,106
864,122
865,121
866,128
867,108
868,109
869,96
870,112
871,96
872,114
873,134
874,120
875,110
876,135
877,112
878,112
879,135
880,118
881,141
882,102
883,122
884,118
885,153
886,120
887,126
888,129
889,120
890,127
891,102
892,118
893,120
894,125
895,126
896,102
897,129
898,97
899,119
900,97
901,131
902,93
903,104
904,107
905,94
906,117
907,106
908,130
909,108
910,125
911,126
912,128
913,108
914,142
915,120
916,105
917,122
918,103
919,114
920,126
921,124
922,108
923,121
924,101
925,104
926,110
927,145
928,118
929,113
930,108
931,139
932,94
933,81
934,111
935,108
936,106
937,75
938,121
939,126
940,101
941,116
942,120
943,98
944,112
945,119
946,110
947,128
948,104
949,94
950,111
951,141
952,120
953,83
954,100
955,87
956,92
957,92
958,93
959,118
960,85
961,104
962,88
963,110
964,108
965,116
966,111
967,145
968,115
969,85
970,110
971,101
972,99
973,98
974,110
975,94
976,133
977,118
978,130
979,103
980,94
981,113
982,103
983,123
984,102
985,101
986,101
987,77
988,124
989,100
990,97
991,97
992,97
993,90
994,101
995,87
996,115
997,112
998,94
999,98
1000,122
1001,90
1002,109
1003,109
1004,94
1005,135
1006,113
1007,101
1008,155
1009,103
1010,112
1011,92
1012,149
1013,108
1014,114
1015,91
1016,116
1017,102
1018,114
1019,102
1020,95
1021,139
1022,110
1023,130
1024,103
1025,111
1026,95
1027,77
1028,102
1029,99
1030,104
1031,88
1032,106
1033,107
1034,87
1035,92
1036,131
1037,98
1038,127
1039,83
1040,115
1041,102
1042,120
1043,122
1044,87
1045,84
1046,113
1047,111
1048,109
1049,95
1050,95
1051,90
1052,91
1053,104
1054,101
1055,99
1056,106
1057,116
1058,113
1059,104
1060,103
1061,109
1062,99
1063,90
1064,92
1065,88
1066,106
1067,90
1068,107
1069,110
1070,86
1071,78
1072,94
1073,88
1074,81
1075,91
1076,89
1077,80
1078,83
1079,80
1080,112
1081,99
1082,86
1083,80
1084,129
1085,117
1086,95
1087,85
1088,86
1089,87
1090,83
1091,104
1092,81
1093,89
1094,95
1095,88
1096,86
1097,103
1098,86
1099,86
1100,100
1101,112
1102,94
1103,92
1104,110
1105,96
1106,94
1107,115
1108,73
1109,99
1110,110
1111,83
1112,81
1113,91
1114,108
1115,83
1116,82
1117,88
1118,89
1119,92
1120,95
1121,84
1122,83
1123,90
1124,112
1125,90
1126,96
1127,92
1128,152
1129,85
1130,106
1131,82
1132,125
1133,81
1134,90
1135,90
1136,80
1137,96
1138,89
1139,85
1140,108
1141,90
1142,63
1143,102
1144,94
1145,101
1146,103
1147,105
1148,108
1149,84
1150,87
1151,105
1152,94
1153,96
1154,90
1155,80
1156,71
1157,71
1158,85
1159,83
1160,82
1161,71
1162,74
1163,78
1164,94
1165,91
1166,101
1167,86
1168,82
1169,85
1170,93
1171,71
1172,72
1173,122
1174,83
1175,90
1176,84
1177,78
1178,90
1179,93
1180,91
1181,89
1182,87
1183,90
1184,92
1185,71
1186,78
1187,95
1188,71
1189,78
1190,85
1191,98
1192,81
1193,101
1194,64
1195,64
1196,62
1197,63
1198,94
1199,72
1200,79
1201,80
1202,90
1203,64
1204,80
1205,78
1206,96
1207,88
1208,76
1209,91
1210,98
1211,85
1212,90
1213,83
1214,76
1215,74
1216,90
1217,90
1218,88
1219,79
1220,100
1221,104
1222,77
1223,80
1224,90
1225,69
1226,75
1227,151
1228,77
1229,72
1230,91
1231,95
