derived_allele_count,sites
0,5231323
1,2281150
2,892216
3,491889
4,317782
5,222631
6,165934
7,128153
8,102915
9,84963
10,71031
11,59957
12,51885
13,44838
14,39312
15,35342
16,31533
17,28452
18,25763
19,22932
20,20992
21,19475
22,17879
23,16642
24,15392
25,14170
26,13182
27,11996
28,11320
29,10696
30,9895
31,9452
32,8983
33,8446
34,8315
35,7802
36,7110
37,6925
38,6695
39,6283
40,5926
41,5942
42,5381
43,5216
44,5011
45,4769
46,4794
47,4496
48,4323
49,4211
50,3910
51,3921
52,3645
53,3662
54,3546
55,3241
56,3192
57,3321
58,3060
59,3043
60,2932
61,2749
62,2799
63,2771
64,2678
65,2494
66,2402
67,2323
68,2336
69,2223
70,2210
71,2265
72,2107
73,2077
74,2059
75,2006
76,1789
77,1851
78,1887
79,1791
80,1692
81,1702
82,1667
83,1611
84,1620
85,1532
86,1484
87,1488
88,1403
89,1350
90,1394
91,1387
92,1355
93,1357
94,1319
95,1257
96,1266
97,1156
98,1207
99,1244
100,1207
101,1212
102,1263
103,1157
104,1063
105,1050
106,1150
107,1102
108,1316
109,1001
110,1040
111,955
112,949
113,971
114,987
115,883
116,919
117,965
118,950
119,963
120,871
121,886
122,872
123,793
124,777
125,793
126,770
127,854
128,817
129,787
130,757
131,711
132,716
133,707
134,670
135,702
136,700
137,690
138,635
139,670
140,674
141,671
142,646
143,675
144,604
145,638
146,758
147,580
148,672
149,627
150,637
151,586
152,611
153,588
154,615
155,574
156,536
157,575
158,548
159,611
160,542
161,564
162,545
163,515
164,521
165,517
166,529
167,451
168,482
169,522
170,512
171,477
172,439
173,525
174,479
175,455
176,414
177,472
178,458
179,457
180,440
181,508
182,414
183,397
184,443
185,432
186,432
187,408
188,439
189,426
190,413
191,407
192,424
193,415
194,424
195,441
196,413
197,404
198,397
199,381
200,379
201,353
202,373
203,400
204,367
205,305
206,325
207,320
208,300
209,334
210,381
211,353
212,323
213,330
214,309
215,292
216,295
217,348
218,355
219,350
220,321
221,307
222,308
223,389
224,300
225,334
226,313
227,255
228,286
229,319
230,255
231,271
232,262
233,293
234,316
235,245
236,296
237,293
238,298
239,283
240,291
241,275
242,263
243,272
244,240
245,264
246,258
247,313
248,274
249,246
250,233
251,221
252,258
253,221
254,250
255,238
256,253
257,275
258,249
259,246
260,238
261,224
262,232
263,239
264,192
265,239
266,238
267,211
268,216
269,222
270,233
271,232
272,213
273,224
274,238
275,244
276,225
277,239
278,227
279,214
280,215
281,210
282,236
283,254
284,169
285,208
286,202
287,198
288,211
289,214
290,210
291,222
292,239
293,190
294,244
295,196
296,196
297,227
298,229
299,232
300,284
301,195
302,187
303,180
304,228
305,226
306,185
307,170
308,194
309,196
310,167
311,193
312,207
313,203
314,178
315,193
316,155
317,183
318,176
319,196
320,170
321,174
322,182
323,173
324,187
325,181
326,186
327,170
328,172
329,193
330,144
331,227
332,168
333,153
334,168
335,158
336,180
337,179
338,172
339,173
340,182
341,156
342,164
343,156
344,153
345,157
346,163
347,147
348,188
349,156
350,185
351,178
352,175
353,155
354,156
355,166
356,180
357,161
358,147
359,150
360,172
361,148
362,135
363,143
364,131
365,156
366,150
367,133
368,130
369,150
370,176
371,152
372,167
373,165
374,148
375,135
376,143
377,157
378,154
379,116
380,148
381,162
